D,string,u
D,1963-06-14 18:00:00,-11.4
D,1963-06-15 18:00:00,-11.5
D,1963-06-16 18:00:00,-11.7
D,1963-06-17 18:00:00,-11.7
D,1963-06-18 18:00:00,-11.4
D,1963-06-19 18:00:00,-11.1
D,1963-06-20 18:00:00,-11.0
D,1963-06-21 18:00:00,-11.3
D,1963-06-22 18:00:00,-11.6
D,1963-06-23 18:00:00,-11.7
D,1963-06-24 18:00:00,-11.6
D,1963-06-25 18:00:00,-11.8
D,1963-06-26 18:00:00,-12.0
D,1963-06-27 18:00:00,-12.3
D,1963-06-28 18:00:00,-12.1
D,1963-06-29 18:00:00,-11.9
D,1963-06-30 18:00:00,-11.4
D,1963-07-01 18:00:00,-11.1
D,1963-07-02 18:00:00,-10.9
D,1963-07-03 18:00:00,-11.0
D,1963-07-04 18:00:00,-11.0
D,1963-07-05 18:00:00,-11.1
D,1963-07-06 18:00:00,-11.5
D,1963-07-07 18:00:00,-11.7
D,1963-07-08 18:00:00,-12.0
D,1963-07-09 18:00:00,-12.1
D,1963-07-10 18:00:00,-12.0
D,1963-07-11 18:00:00,-11.8
D,1963-07-12 18:00:00,-11.5
D,1963-07-13 18:00:00,-11.2
D,1963-07-14 18:00:00,-10.8
D,1963-07-15 18:00:00,-10.8
D,1963-07-16 18:00:00,-10.8
D,1963-07-17 18:00:00,-10.7
D,1963-07-18 18:00:00,-10.8
D,1963-07-19 18:00:00,-11.0
D,1963-07-20 18:00:00,-11.2
D,1963-07-21 18:00:00,-11.0
D,1963-07-22 18:00:00,-10.9
D,1963-07-23 18:00:00,-10.7
D,1963-07-24 18:00:00,-10.6
D,1963-07-25 18:00:00,-10.5
D,1963-07-26 18:00:00,-10.3
D,1963-07-27 18:00:00,-9.8
D,1963-07-28 18:00:00,-9.2
D,1963-07-29 18:00:00,-8.9
D,1963-07-30 18:00:00,-9.0
D,1963-07-31 18:00:00,-9.1
D,1963-08-01 18:00:00,-9.1
D,1963-08-02 18:00:00,-8.8
D,1963-08-03 18:00:00,-8.5
D,1963-08-04 18:00:00,-8.2
D,1963-08-05 18:00:00,-7.9
D,1963-08-06 18:00:00,-7.4
D,1963-08-07 18:00:00,-7.0
D,1963-08-08 18:00:00,-6.9
D,1963-08-09 18:00:00,-6.7
D,1963-08-10 18:00:00,-6.8
D,1963-08-11 18:00:00,-6.5
D,1963-08-12 18:00:00,-6.2
D,1963-08-13 18:00:00,-5.6
D,1963-08-14 18:00:00,-5.1
D,1963-08-15 18:00:00,-4.4
D,1963-08-16 18:00:00,-3.7
D,1963-08-17 18:00:00,-2.9
D,1963-08-18 18:00:00,-2.3
D,1963-08-19 18:00:00,-1.7
D,1963-08-20 18:00:00,-1.3
D,1963-08-21 18:00:00,-0.9
D,1963-08-22 18:00:00,-0.6
D,1963-08-23 18:00:00,-0.1
D,1963-08-24 18:00:00,0.3
D,1963-08-25 18:00:00,0.9
D,1963-08-26 18:00:00,1.0
D,1963-08-27 18:00:00,1.3
D,1963-08-28 18:00:00,1.9
D,1963-08-29 18:00:00,2.4
D,1963-08-30 18:00:00,2.8
D,1963-08-31 18:00:00,2.7
D,1963-09-01 18:00:00,2.7
